# Canterbury tales	## 0 = Geoffrey Chaucer
ch/07/2/171-ch.cat	Astrolabe - To knowe the ascensions of signes in the embelif cercle in every regioun, I mene, in circulo obliquo.
ch/07/2/172-ch.cat	Astrolabe - To knowe justly the 4 quarters of the world, as Est, West, North, and South.
ch/07/2/173-ch.cat	Astrolabe - To knowe the altitude of planetes fro the wey of the sonne, whethir so they be north or south fro the forseide wey.
ch/07/2/174-ch.cat	Astrolabe - To knowe the cenyth of the arising of the sonne, this is to seyn, the partie of the orisonte in which that the sonne arisith.
ch/07/2/175-ch.cat	Astrolabe - To knowe in which partie of the firmament is the conjunccyoun.
ch/07/2/176-ch.cat	Astrolabe - To knowe the cenyth of the altitude of the sonne.
ch/07/2/177-ch.cat	Astrolabe - To knowe sothly the degre of the longitude of the mone, or of eny planete that hath no latitude for the tyme fro the ecliptik lyne.
ch/07/2/178-ch.cat	Astrolabe - This is the worchynge of the conclusioun to knowe yf that eny planete be direct or retrograd.
ch/07/2/179-ch.cat	Astrolabe - The conclusioun of equaciouns of houses after the Astrelabie.
ch/07/2/180-ch.cat	Astrolabe - Another maner of equaciouns of houses by the Astrelabie.
ch/07/2/181-ch.cat	Astrolabe - To fynde the lyne meridional to dwelle fix in eny certeyn place.
ch/07/2/182-ch.cat	Astrolabe - Descripcion of the meridional lyne, of longitudes and latitudes of citees and townes, as wel as of climates.
ch/07/2/183-ch.cat	Astrolabe - To knowe with which degre of the zodiak that eny planete ascendith on the orisonte, whether so that his latitude be north or south.
anon/ch/07/*-ap.cat	Supplemental Propositions to the Astrolabe
#	Poems Not Ascribed to Chaucer in the Manuscripts
ch/06/118-ch.cat	Against Women Unconstant
anon/ch/06/119-ap.cat	Complaynt D'Amours (Complaint)
ch/06/120-ch.cat	Merciles Beaute (Beauty)
anon/ch/06/121-ap.cat	Balade of Complaint
#
ch/05/100-1-ch.cat	The Legend of Cleopatra
ch/05/100-2-ch.cat	The Legend of Thisbe
ch/05/100-3-ch.cat	The Legend of Dido
ch/05/100-4-ch.cat	The Legend of Hypsipyle and Medea
ch/05/100-5-ch.cat	The Legend of Lucrece
ch/05/100-6-ch.cat	The Legend of Ariadne
ch/05/100-7-ch.cat	The Legend of Philomela
ch/05/100-8-ch.cat	The Legend of Phyllis
ch/05/100-9-ch.cat	The Legend of Hypermnestra
# Works Attributed to Chaucer
ch/08/190-ch.cat	Romaunt of the Rose - Fragment A
anon/ch/08/191-ap.cat	Romaunt of the Rose - Fragment B
anon/ch/08/192-ap.cat	Romaunt of the Rose - Fragment C
#	John Gower
gow/08/*-gow.cat	Confessio Amantis
gow/00/*-gow.cat	Confessio Amantis - Prologue
gow/00/01-gow.cat	Design of the Book; Dedication
gow/00/02-gow.cat	Temporal Rulers
gow/00/03-gow.cat	The Church
gow/00/04-gow.cat	The Commons
gow/00/05-gow.cat	Nebuchadnezzar's Dream; The Empires of the World; The latest Time
gow/00/06-gow.cat	Division the Cause of Evil
gow/01/*-gow.cat	Confessio Amantis - Book I
gow/01/07-gow.cat	Love rules the world; example of the author
gow/01/08-gow.cat	Author's woful Case; His Complaint to Cupid and Venus; The Fiery Dart;  Venus Queen of Love; Genius- the priest of Love
gow/01/09-gow.cat	The Lover's Shrift
gow/01/10-gow.cat	The Five Senses; Seeing
gow/01/11-gow.cat	Tale of Acteon
gow/01/12-gow.cat	The Tale of Medusa
gow/01/13-gow.cat	Hearing; Prudence of the Serpent
gow/01/14-gow.cat	Tale of the Sirens
gow/01/15-gow.cat	The Sins of the Eye and Ear
gow/01/16-gow.cat	The Seven deadly Sins; Pride; Five Ministers of Pride; i. Hyocrisy; Hypocrisy of Lovers
gow/01/17-gow.cat	Tale of Mundus and Paulina
gow/01/18-gow.cat	The Trojan horse
gow/01/19-gow.cat	Hypocrisy in Love
gow/01/20-gow.cat	Inobedience
gow/01/21-gow.cat	Murmur and complaint
gow/01/22-gow.cat	Tale of Florent
gow/01/23-gow.cat	Surquidry or Presumption
gow/01/24-gow.cat	Tale of Capaneus
gow/01/25-gow.cat	The Trump of Death
gow/01/26-gow.cat	Tale of Narcissus
gow/01/27-gow.cat	Presumption of Lovers
gow/01/28-gow.cat	Avantance or Boasting
gow/01/29-gow.cat	Tale of Albinus and Rosemund
gow/01/30-gow.cat	Vain-glory
gow/01/31-gow.cat	The Lover's Confession
gow/01/32-gow.cat	Nebuchadnezzar's Punishment
gow/01/33-gow.cat	Humility
gow/01/34-gow.cat	Tale of the Three Questions
gow/01/35-gow.cat	Humility
gow/02/*-gow.cat	Confessio Amantis - Book II
gow/02/36-gow.cat	Envy; Sorrow for another man's Joy
gow/02/37-gow.cat	Tale of Acis and Galatea
gow/02/38-gow.cat	Joy for another man's Grief
gow/02/39-gow.cat	The Travellers and the Angel
gow/02/40-gow.cat	Detraction; Detraction of Lovers
gow/02/41-gow.cat	Tale of Constance
gow/02/42-gow.cat	Demetrius and Perseus
gow/02/43-gow.cat	False-Semblant
gow/02/44-gow.cat	Deianira and Nessus
gow/02/45-gow.cat	Supplantation
gow/02/46-gow.cat	Geta and Amphitrion
gow/02/47-gow.cat	Tale of the False Bachelor
gow/02/48-gow.cat	Pope Boniface
gow/02/49-gow.cat	Nature of Envy; Charity and Pity
gow/02/50-gow.cat	Tale of Constantine and Silvester
gow/03/*-gow.cat	Confessio Amantis - Book III
gow/03/51-gow.cat	Ire or Wrath; Melancholy
gow/03/52-gow.cat	Tale of Canace and Machaire
gow/03/53-gow.cat	Tiresias and the Snakes
gow/03/54-gow.cat	Melancholy
gow/03/55-gow.cat	Cheste
gow/03/56-gow.cat	Patience of Socrates
gow/03/57-gow.cat	Jupiter- Juno- and Tiresias
gow/03/58-gow.cat	Cheste
gow/03/59-gow.cat	Phebus and Cornide
gow/03/60-gow.cat	Jupiter and Laar
gow/03/61-gow.cat	Hate
gow/03/62-gow.cat	King Namplus and the Greeks
gow/03/63-gow.cat	Contek and Homicide; Contek within the Heart
gow/03/64-gow.cat	Tale of Diogenes and Alexander;
gow/03/65-gow.cat	Contek
gow/03/66-gow.cat	Pyramus and Thisbe
gow/03/67-gow.cat	The Lover's Confession; Danger; More haste worse than speed
gow/03/68-gow.cat	Tale of Phebus and Daphne
gow/03/69-gow.cat	Fool-haste
gow/03/70-gow.cat	Athemas and Demephon
gow/03/71-gow.cat	Tale of Orestes
gow/03/72-gow.cat	Lawful Homicide
gow/03/73-gow.cat	Evil of War
gow/03/74-gow.cat	Alexander and the Pirate
gow/03/75-gow.cat	Wars and Death of Alexander
gow/03/76-gow.cat	Are Crusades Lawful -  Guilt of Homicide;
gow/03/77-gow.cat	A Strange Bird; Mercy
gow/03/78-gow.cat	Tale of Telephus and Teucer
gow/04/*-gow.cat	Confessio Amantis - Book IV
gow/04/79-gow.cat	Sloth; Lachesse
gow/04/80-gow.cat	Eneas and Dido
gow/04/81-gow.cat	Ulysses and Penelope
gow/04/82-gow.cat	Grosteste; The Foolish Virgins
gow/04/83-gow.cat	Lachesse
gow/04/84-gow.cat	Pusillanimity
gow/04/85-gow.cat	Pygmaleon and the Statue
gow/04/86-gow.cat	Tale of Iphis
gow/04/87-gow.cat	Forgetfulness
gow/04/88-gow.cat	Demephon and Phillis
gow/04/89-gow.cat	Negligence
gow/04/90-gow.cat	Tale of Phaeton
gow/04/91-gow.cat	Tale of Icarus
gow/04/92-gow.cat	Idleness
gow/04/93-gow.cat	Tale of Rosiphelee
gow/04/94-gow.cat	Idleness in Love
gow/04/95-gow.cat	Tale of Jephtha's Daughter
gow/04/96-gow.cat	Lovers must approve themselves in arms; Arguments to the Contrary; The Confessor replies
gow/04/97-gow.cat	Tale of Nauplus and Ulysses
gow/04/98-gow.cat	Examples of Prowess; Protesilaus;
gow/04/99-gow.cat	Saul
gow/04/100-gow.cat	Education of Achilles
gow/04/101-gow.cat	Prowess
gow/04/102-gow.cat	Tale of Hercules and Achelons
gow/04/103-gow.cat	Penthesilea
gow/04/104-gow.cat	Philemenis; Eneas
gow/04/105-gow.cat	Gentilesse
gow/04/106-gow.cat	Effects of Love; Love contrary to Sloth
gow/04/107-gow.cat	Uses oflabour; discoverers and inventors
gow/04/108-gow.cat	Alchemy; The Three Stones of the Philosophers; The First Alchemists
gow/04/109-gow.cat	Letters and Language
gow/04/110-gow.cat	Somnolence
gow/04/111-gow.cat	The Lover's Wakefulness
gow/04/112-gow.cat	Dreams
gow/04/113-gow.cat	Tale of Ceix and Alceone
gow/04/114-gow.cat	Sleeping and Waking
gow/04/115-gow.cat	The Prayer of Cephalus
gow/04/116-gow.cat	Argus and Mercury
gow/04/117-gow.cat	Tristesse or Despondency
gow/04/118-gow.cat	Tale of Iphis and Araxarathen
gow/05/*-gow.cat	Confessio Amantis - Book V
gow/05/119-gow.cat	Avarice
gow/05/120-gow.cat	Tale of Midas
gow/05/121-gow.cat	The Punishment of Tantalus
gow/05/122-gow.cat	Avarice; Jealousy of Lovers
gow/05/123-gow.cat	Tale of Vulcan and Venus
gow/05/124-gow.cat	Belief of the Chaldeans; Belief of the Egyptians
gow/05/125-gow.cat	Belief of the Greeks
gow/05/126-gow.cat	Origin of Idol Worship
gow/05/127-gow.cat	Belief of the Jews
gow/05/128-gow.cat	The Christian Faith
gow/05/129-gow.cat	Coveitise
gow/05/130-gow.cat	Tale of Virgil's Mirror
gow/05/131-gow.cat	Coveitise
gow/05/132-gow.cat	Tale of the Two Coffers
gow/05/133-gow.cat	Tale of the Beggars and the Pasties
gow/05/134-gow.cat	Coveitise of Lovers
gow/05/135-gow.cat	Tale of the King and his Steward's Wife
gow/05/136-gow.cat	False Witness and Perjury
gow/05/137-gow.cat	Tale of Achilles and Deidamia
gow/05/138-gow.cat	Perjury
gow/05/139-gow.cat	Tale of Jason and Medea
gow/05/140-gow.cat	Tale of Phrixus and Helle
gow/05/141-gow.cat	Usury
gow/05/142-gow.cat	Love Brokerage; Tale of Echo; 
gow/05/143-gow.cat	Parsimony
gow/05/144-gow.cat	Tale of Babio and Croceus
gow/05/145-gow.cat	Ingratitude
gow/05/146-gow.cat	Tale of Adrian and Bardus
gow/05/147-gow.cat	Ingratitude
gow/05/148-gow.cat	Tale of Theseus and Ariadne
gow/05/149-gow.cat	Ravine
gow/05/150-gow.cat	Tale of Tereus
gow/05/151-gow.cat	Robbery
gow/05/152-gow.cat	Neptune and Cornix
gow/05/153-gow.cat	Tale of Calistona
gow/05/154-gow.cat	Virginity
gow/05/155-gow.cat	Stealth and Michery
gow/05/156-gow.cat	Stealth of Lovers
gow/05/157-gow.cat	Tale of Leucothoe
